Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Publisher,platforms,Years_of_Release,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
The Spiderwick Chronicles,0.33,0.01,0.0,0.03,0.39,Action,Vivendi Games,4,9.0,1,0,0,0,0,0,0,0,0,0,0,0
Sherlock Holmes: The Mystery of the Mummy,0.06,0.3,0.0,0.04,0.39,Adventure,Focus Home Interactive,1,8.0,0,1,0,0,0,0,0,0,0,0,0,0
Generator Rex: Agent of Providence,0.29,0.060000000000000005,0.0,0.04,0.39,Action,Activision,4,6.0,1,0,0,0,0,0,0,0,0,0,0,0
Project X Zone,0.18,0.04,0.15,0.02,0.39,Role-Playing,Namco Bandai Games,1,5.0,0,0,0,0,0,0,0,1,0,0,0,0
Laser Blast,0.37,0.02,0.0,0.0,0.39,Action,Activision,1,36.0,1,0,0,0,0,0,0,0,0,0,0,0
Airlock,0.36,0.02,0.0,0.0,0.39,Action,Data Age,1,36.0,1,0,0,0,0,0,0,0,0,0,0,0
"Sakura Wars: So Long, My Love",0.12000000000000001,0.09,0.15,0.03,0.39,Role-Playing,Ackkstudios,1,9.5,0,0,0,0,0,0,0,1,0,0,0,0
Earth Defense Force: Insect Armageddon,0.16,0.08,0.11,0.03,0.39,Shooter,D3Publisher,2,6.0,0,0,0,0,0,0,0,0,1,0,0,0
College Hoops 2K7,0.36,0.0,0.0,0.03,0.39,Sports,Take-Two Interactive,1,10.5,0,0,0,0,0,0,0,0,0,0,1,0
BattleTanx: Global Assault,0.31,0.07,0.0,0.0,0.39,Action,3DO,2,18.0,1,0,0,0,0,0,0,0,0,0,0,0
Advance Wars: Dual Strike,0.3,0.02,0.04,0.03,0.39,Strategy,Nintendo,2,12.0,0,0,0,0,0,0,0,0,0,0,0,1
Apache: Air Assault,0.22999999999999998,0.12,0.0,0.04,0.39,Simulation,Just Flight,3,7.0,0,0,0,0,0,0,0,0,0,1,0,0
NASCAR Heat,0.22,0.15,0.0,0.03,0.39,Racing,Hasbro Interactive,3,17.0,0,0,0,0,0,0,1,0,0,0,0,0
Shin Megami Tensei: Devil Survivor Overclocked,0.29,0.01,0.06,0.03,0.39,Role-Playing,Ghostlight,1,6.0,0,0,0,0,0,0,0,1,0,0,0,0
Custom Robo V2,0.0,0.0,0.34,0.05,0.39,Fighting,Nintendo,3,17.0,0,0,1,0,0,0,0,0,0,0,0,0
Ninja: Shadow of Darkness,0.21,0.14,0.0,0.02,0.38,Action,Eidos Interactive,1,19.0,1,0,0,0,0,0,0,0,0,0,0,0
Age of Empires III,0.0,0.33,0.0,0.05,0.38,Strategy,Microsoft Game Studios,1,12.0,0,0,0,0,0,0,0,0,0,0,0,1
ESPN Extreme Games,0.11,0.08,0.17,0.03,0.38,Sports,Sony Computer Entertainment,2,23.0,0,0,0,0,0,0,0,0,0,0,1,0
Football Manager 2016,0.0,0.36,0.0,0.02,0.38,Simulation,Sega,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0
Final Fantasy Adventure,0.0,0.0,0.38,0.0,0.38,Role-Playing,SquareSoft,2,26.0,0,0,0,0,0,0,0,1,0,0,0,0
Syndicate,0.17,0.16999999999999998,0.0,0.05,0.38,Shooter,Electronic Arts,8,11.666666666666666,0,0,0,0,0,0,0,0,1,0,0,0
Moto Racer World Tour,0.21,0.14,0.0,0.02,0.38,Racing,Sony Computer Entertainment,1,17.0,0,0,0,0,0,0,1,0,0,0,0,0
Super Soccer,0.0,0.0,0.38,0.0,0.38,Sports,Nintendo,2,26.0,0,0,0,0,0,0,0,0,0,0,1,0
Yoshi Touch & Go,0.34,0.02,0.0,0.03,0.38,Platform,Nintendo,2,12.0,0,0,0,0,1,0,0,0,0,0,0,0
Paws & Claws: Pampered Pets,0.35,0.0,0.0,0.03,0.38,Simulation,THQ,2,8.0,0,0,0,0,0,0,0,0,0,1,0,0
Dance Dance Revolution Ultramix 3,0.28,0.08,0.0,0.01,0.38,Simulation,Konami Digital Entertainment,1,12.0,0,0,0,0,0,0,0,0,0,1,0,0
Syndicate,0.17,0.16999999999999998,0.0,0.05,0.38,Shooter,EA Games,8,11.666666666666666,0,0,0,0,0,0,0,0,1,0,0,0
"Warhammer 40,000: Squad Command",0.16,0.14,0.0,0.09,0.38,Strategy,THQ,3,10.0,0,0,0,0,0,0,0,0,0,0,0,1
Syndicate,0.17,0.16999999999999998,0.0,0.05,0.38,Strategy,Electronic Arts,8,11.666666666666666,0,0,0,0,0,0,0,0,0,0,0,1
The Cat in the Hat,0.27,0.1,0.0,0.01,0.38,Platform,Jack of All Games,4,12.0,0,0,0,0,1,0,0,0,0,0,0,0
AKB1/149: Love Election,0.0,0.0,0.38,0.0,0.38,Adventure,Namco Bandai Games,3,4.5,0,1,0,0,0,0,0,0,0,0,0,0
Puppy Palace,0.35,0.0,0.0,0.03,0.38,Simulation,Ubisoft,1,9.0,0,0,0,0,0,0,0,0,0,1,0,0
LocoRoco,0.14,0.04,0.16,0.03,0.38,Platform,Sony Computer Entertainment,2,11.0,0,0,0,0,1,0,0,0,0,0,0,0
Tamagotchi Connection: Corner Shop 3,0.06,0.0,0.31,0.01,0.38,Simulation,Atari,1,10.0,0,0,0,0,0,0,0,0,0,1,0,0
Phoenix Wright: Ace Attorney - Dual Destinies,0.0,0.0,0.38,0.0,0.38,Adventure,Capcom,3,4.0,0,1,0,0,0,0,0,0,0,0,0,0
Rogue Trip: Vacation 2012,0.21,0.14,0.0,0.02,0.38,Racing,GT Interactive,1,19.0,0,0,0,0,0,0,1,0,0,0,0,0
Ice Age,0.27,0.1,0.0,0.01,0.38,Action,Ubisoft,1,15.0,1,0,0,0,0,0,0,0,0,0,0,0
Tetris Attack,0.0,0.0,0.38,0.0,0.38,Puzzle,Nintendo,3,21.5,0,0,0,0,0,1,0,0,0,0,0,0
Backyard Sports: Sandlot Sluggers,0.36,0.0,0.0,0.03,0.38,Sports,Atari,3,7.0,0,0,0,0,0,0,0,0,0,0,1,0
Pro Evolution Soccer 2011 3D,0.11,0.13,0.11,0.02,0.38,Sports,Konami Digital Entertainment,1,6.0,0,0,0,0,0,0,0,0,0,0,1,0
